participant,exp_name,date,session,eccentricity,eccentricityDVA,gaborSize,gaborSizeDVA,gaborSF,gaborSFDVA,training-test,trial,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,103,668.5,0.0,meridianH,0.43999999999999995,vertical,right,right,1,2,right_vertical,14,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,104,668.5,0.0,meridianH,0.42999999999999994,vertical,right,right,1,1,right_vertical,15,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,105,-668.5,0.0,meridianH,0.44999999999999996,horizontal,left,left,1,1,left_horizontal,13,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,106,-668.5,0.0,meridianH,0.73,horizontal,left,left,1,2,left_horizontal,14,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,107,0.0,668.5,meridianV,0.42999999999999994,horizontal,up,up,1,1,up_horizontal,17,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,108,668.5,0.0,meridianH,0.42999999999999994,vertical,right,right,1,2,right_vertical,16,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,109,0.0,-668.5,meridianV,0.05,horizontal,down,left,0,0,down_horizontal,13,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,110,0.0,668.5,meridianV,0.03,vertical,up,up,1,2,up_vertical,13,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,111,0.0,668.5,meridianV,0.71,vertical,up,up,1,3,up_vertical,14,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,112,0.0,668.5,meridianV,0.42999999999999994,horizontal,up,up,1,2,up_horizontal,18,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,113,668.5,0.0,meridianH,0.41999999999999993,vertical,right,right,1,1,right_vertical,17,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,114,0.0,-668.5,meridianV,0.44999999999999996,vertical,down,down,1,1,down_vertical,12,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,115,0.0,-668.5,meridianV,0.060000000000000005,horizontal,down,up,0,0,down_horizontal,14,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,116,0.0,-668.5,meridianV,1.0,vertical,down,down,1,2,down_vertical,13,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,117,0.0,-668.5,meridianV,0.43999999999999995,vertical,down,down,1,1,down_vertical,14,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,118,668.5,0.0,meridianH,0.41999999999999993,vertical,right,right,1,2,right_vertical,18,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,119,-668.5,0.0,meridianH,0.47,vertical,left,left,1,1,left_vertical,14,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,120,-668.5,0.0,meridianH,0.43999999999999995,horizontal,left,left,1,1,left_horizontal,15,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,121,-668.5,0.0,meridianH,0.71,horizontal,left,left,1,2,left_horizontal,16,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,122,-668.5,0.0,meridianH,0.47,vertical,left,left,1,2,left_vertical,15,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,123,-668.5,0.0,meridianH,0.45999999999999996,vertical,left,left,1,1,left_vertical,16,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,124,0.0,668.5,meridianV,0.019999999999999997,vertical,up,right,0,0,up_vertical,15,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,125,668.5,0.0,meridianH,0.4099999999999999,vertical,right,right,1,1,right_vertical,19,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,126,0.0,-668.5,meridianV,0.98,horizontal,down,down,1,1,down_horizontal,15,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,127,-668.5,0.0,meridianH,0.42999999999999994,horizontal,left,left,1,1,left_horizontal,17,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,128,-668.5,0.0,meridianH,0.42999999999999994,horizontal,left,left,1,2,left_horizontal,18,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,129,0.0,668.5,meridianV,0.03,vertical,up,up,1,1,up_vertical,16,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,130,0.0,668.5,meridianV,0.41999999999999993,horizontal,up,up,1,1,up_horizontal,19,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,131,0.0,-668.5,meridianV,0.76,vertical,down,down,1,2,down_vertical,15,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,132,-668.5,0.0,meridianH,0.45999999999999996,vertical,left,left,1,2,left_vertical,17,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,133,0.0,-668.5,meridianV,0.060000000000000005,horizontal,down,down,1,2,down_horizontal,16,staircase
